open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-01-01,13.7159,13.8692,13.65,13.7184,940625.04,1577923199999.0,12950619.112333,27635.0,577339.47,7949620.573133,0.0
2020-01-02,13.7072,13.7302,12.98,13.0105,971190.67,1578009599999.0,12996389.228183,35069.0,523045.56,7015156.25774,0.0
2020-01-03,13.0104,13.75,12.9801,13.6474,1458450.49,1578095999999.0,19701202.862739,47990.0,724222.45,9791741.098263,0.0
2020-01-04,13.6481,13.871,13.5102,13.8092,1231281.06,1578182399999.0,16885687.442197,30669.0,730981.84,10020725.791379,0.0
2020-01-05,13.7978,14.3133,13.791,14.0532,1458003.02,1578268799999.0,20531817.04177,38389.0,743923.68,10473407.053125,0.0
2020-01-06,14.0488,14.9873,14.0168,14.9471,1633712.04,1578355199999.0,23743495.229042,55906.0,866539.84,12595593.523233,0.0
2020-01-07,14.9427,15.187,14.456,15.0226,1458769.7,1578441599999.0,21730397.14632,63949.0,775989.17,11567742.885272,0.0
2020-01-08,15.0212,15.32,14.2,14.5334,1497529.49,1578527999999.0,22172532.583321,64308.0,734784.72,10883861.053044,0.0
2020-01-09,14.5334,14.5823,14.201,14.3978,1075088.98,1578614399999.0,15517519.185434,40392.0,639897.37,9242926.094902,0.0
2020-01-10,14.3806,15.0973,14.11,15.07,1572086.31,1578700799999.0,23078360.689727,50163.0,812176.95,11905875.205936,0.0
2020-01-11,15.0643,15.32,14.7111,14.9177,1397398.3,1578787199999.0,20959042.697335,47127.0,712603.11,10695771.88867,0.0
2020-01-12,14.9137,15.4707,14.8001,15.3366,2042903.51,1578873599999.0,31111483.357731,48078.0,1158852.96,17646771.046512,0.0
2020-01-13,15.337,15.3572,14.9295,15.1736,1522093.0,1578959999999.0,22982639.430501,32950.0,839245.34,12671484.827918,0.0
