date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
11/27/2021,6.1,7.945,2.5,7.47,5385361.76,1.63806E+12,38388799.34,72851,2750473.28,19634373.73,0
11/28/2021,7.47,7.827,6.083,6.948,2991578.89,1.63814E+12,20379037.13,33016,1446379.17,9880009.604,0
11/29/2021,6.968,7.22,6.333,6.788,1362160.41,1.63823E+12,9156488.624,20534,613112.95,4126373.921,0
11/30/2021,6.795,6.824,6.138,6.268,1126567.79,1.63832E+12,7297526.228,16126,509162.94,3303987.444,0
12/1/2021,6.276,6.36,5.145,5.401,3006782.57,1.6384E+12,17018068.04,41587,1412209.58,7971151.546,0
12/2/2021,5.407,5.741,4.92,5.617,2336301.6,1.63849E+12,12357488.4,25632,1019391.02,5410507.087,0
12/3/2021,5.616,6.782,4.828,5.1,4233336.02,1.63858E+12,24636038.35,50614,2139381.7,12430041.26,0
12/4/2021,5.106,6.074,3.88,5.266,5800485.01,1.63866E+12,30009392.98,61334,3076576.11,15899584.13,0
12/5/2021,5.268,5.853,4.374,4.853,2819506.64,1.63875E+12,14466894.14,39251,1357178.02,6965757.065,0
12/6/2021,4.861,5,3.888,4.894,4080140.85,1.63884E+12,17967182.18,30395,1979918.84,8691158.597,0
12/7/2021,4.884,5.174,4.413,4.47,1536345.67,1.63892E+12,7365301.67,14519,759368.95,3647749.709,0
12/8/2021,4.47,4.623,4.21,4.247,1227462.71,1.63901E+12,5435601.045,12055,603249.07,2669102.896,0
12/9/2021,4.256,4.431,3.9,3.903,1623437.09,1.63909E+12,6754647.902,15526,773425.05,3229397.592,0
12/10/2021,3.908,4.099,3.5,3.504,1848044.08,1.63918E+12,7050265.107,19998,865421.2,3305782.623,0
12/11/2021,3.5,3.826,3.436,3.793,1032166.22,1.63927E+12,3780057.217,11955,495992.91,1818381.874,0
12/12/2021,3.788,5.449,3.767,4.963,9784942.89,1.63935E+12,46852777.86,169927,4800176.87,22965228.11,0
12/13/2021,4.96,5.095,3.807,4.055,6445665.17,1.63944E+12,27693929.17,94692,3417903.76,14621787.61,0
12/14/2021,4.054,4.35,3.701,4.083,3117749.97,1.63953E+12,12438197.69,45692,1532114.17,6128928.262,0
12/15/2021,4.084,4.626,3.799,4.243,3098473.24,1.63961E+12,12828099.95,46359,1529488.55,6347973.478,0
12/16/2021,4.243,4.896,4.113,4.289,3650210.42,1.6397E+12,16217204.24,48767,1804604.4,8020487.511,0
12/17/2021,4.29,4.478,3.907,4.164,1557911.64,1.63979E+12,6439661.491,25250,690180.79,2848869.792,0
12/18/2021,4.169,4.849,4.048,4.5,2249028.64,1.63987E+12,10125805.63,34389,1106903.63,4991104.233,0
12/19/2021,4.5,5,4.23,4.688,2300055.41,1.63996E+12,10735840.26,33469,1104014.23,5163214.203,0
12/20/2021,4.678,4.83,4.163,4.478,1798162.44,1.64004E+12,7993481.438,29615,908207.77,4038220.711,0
12/21/2021,4.478,6.39,4.346,5.506,10096773.24,1.64013E+12,56755141.34,179691,5188338.52,29239590.13,0
