date,open,high,low,close,volume,number_of_trades
11/27/2021,6.1,7.945,2.5,7.47,5385361.76,72851
11/28/2021,7.47,7.827,6.083,6.948,2991578.89,33016
11/29/2021,6.968,7.22,6.333,6.788,1362160.41,20534
11/30/2021,6.795,6.824,6.138,6.268,1126567.79,16126
12/1/2021,6.276,6.36,5.145,5.401,3006782.57,41587
12/2/2021,5.407,5.741,4.92,5.617,2336301.6,25632
12/3/2021,5.616,6.782,4.828,5.1,4233336.02,50614
12/4/2021,5.106,6.074,3.88,5.266,5800485.01,61334
12/5/2021,5.268,5.853,4.374,4.853,2819506.64,39251
12/6/2021,4.861,5,3.888,4.894,4080140.85,30395
12/7/2021,4.884,5.174,4.413,4.47,1536345.67,14519
12/8/2021,4.47,4.623,4.21,4.247,1227462.71,12055
12/9/2021,4.256,4.431,3.9,3.903,1623437.09,15526
12/10/2021,3.908,4.099,3.5,3.504,1848044.08,19998
12/11/2021,3.5,3.826,3.436,3.793,1032166.22,11955
12/12/2021,3.788,5.449,3.767,4.963,9784942.89,169927
12/13/2021,4.96,5.095,3.807,4.055,6445665.17,94692
12/14/2021,4.054,4.35,3.701,4.083,3117749.97,45692
12/15/2021,4.084,4.626,3.799,4.243,3098473.24,46359
12/16/2021,4.243,4.896,4.113,4.289,3650210.42,48767
12/17/2021,4.29,4.478,3.907,4.164,1557911.64,25250
12/18/2021,4.169,4.849,4.048,4.5,2249028.64,34389
12/19/2021,4.5,5,4.23,4.688,2300055.41,33469
12/20/2021,4.678,4.83,4.163,4.478,1798162.44,29615
12/21/2021,4.478,6.39,4.346,5.506,10096773.24,179691
12/22/2021,5.512,6.52,5.5,5.717,5885172.22,128656
12/23/2021,5.724,6.34,5.587,6.151,2730623.58,50831
12/24/2021,6.135,6.661,5.503,5.576,2217931.43,47806
12/25/2021,5.578,5.91,5.509,5.61,1329719.3,25438
12/26/2021,5.608,5.682,5.125,5.422,1727051.05,34584
12/27/2021,5.421,5.744,5.151,5.156,1724656.97,30466
12/28/2021,5.156,5.387,4.705,4.907,1970903.37,34582
12/29/2021,4.898,5.029,4.515,4.622,1698449.36,28326
12/30/2021,4.615,4.92,4.5,4.61,1834530.9,30121
12/31/2021,4.614,5.108,4.53,4.601,1708500.45,27180
1/1/2022,4.602,4.828,4.374,4.8,1342121.2,20629
1/2/2022,4.791,4.869,4.522,4.572,724217.95,12786
1/3/2022,4.572,5.415,4.51,5.262,3801926.52,57306
1/4/2022,5.264,5.5,4.764,4.813,3928565.29,62107
1/5/2022,4.814,5.122,4.03,4.278,3805854.49,50055
1/6/2022,4.278,4.38,4.063,4.172,3791357.58,49626
1/7/2022,4.175,4.18,3.645,3.686,3518981.52,44164
1/8/2022,3.693,3.85,3.407,3.58,2230354.95,27393
1/9/2022,3.578,3.999,3.467,3.763,2556309.59,30554
1/10/2022,3.764,3.774,3.22,3.499,2142062.36,26978
1/11/2022,3.501,3.6,3.246,3.475,2675671.99,28248
1/12/2022,3.481,4,3.304,3.972,2730345.71,32200
1/13/2022,3.972,4.077,3.532,3.547,2870440.77,34450
1/14/2022,3.549,3.628,3.31,3.53,1991966.32,24698
1/15/2022,3.529,3.782,3.459,3.637,1165911.26,15653
1/16/2022,3.636,3.768,3.54,3.598,1114316.32,13254
1/17/2022,3.597,3.625,3.13,3.199,1810616.79,20258
1/18/2022,3.197,3.319,2.88,3,2447852.63,26407
1/19/2022,3,3.187,2.758,2.965,2757651.67,31158
1/20/2022,2.964,3.372,2.82,2.829,2467611.47,27615
1/21/2022,2.827,2.901,2.262,2.415,5283958.03,45158
1/22/2022,2.413,2.503,1.962,2.145,3383954.01,30081
1/23/2022,2.145,2.38,2.099,2.25,1933706.86,19765
1/24/2022,2.248,2.338,1.801,2.275,3273887.7,32012
1/25/2022,2.275,2.428,2.187,2.301,2482562.42,21168
1/26/2022,2.304,2.637,2.245,2.496,2928949.01,28980
1/27/2022,2.498,2.632,2.361,2.493,2928525.16,27227
1/28/2022,2.493,2.854,2.425,2.835,1897069.95,18402
1/29/2022,2.837,3.247,2.835,3.179,4572167.03,46466
